id,title,content,brief,target,type
20150,保家卫国,"    兵营是城市训练士兵的基础建筑，高级的兵营不仅是高级兵种的必要前提条件，而且兵营等级越高训练士兵的速度越快。","    升级【兵营】到2级",升级军营2,1
20151,保家卫国,"    兵营是城市训练士兵的基础建筑，高级的兵营不仅是高级兵种的必要前提条件，而且兵营等级越高训练士兵的速度越快。","    升级【兵营】到3级",升级军营3,1
20152,保家卫国,"    兵营是城市训练士兵的基础建筑，高级的兵营不仅是高级兵种的必要前提条件，而且兵营等级越高训练士兵的速度越快。","    升级【兵营】到4级",升级军营4,1
20153,保家卫国,"    兵营是城市训练士兵的基础建筑，高级的兵营不仅是高级兵种的必要前提条件，而且兵营等级越高训练士兵的速度越快。5级的兵营是训练【刀盾兵】的必要前提条件。","    升级【兵营】到5级",升级军营5,1
20154,保家卫国,"    兵营是城市训练士兵的基础建筑，高级的兵营不仅是高级兵种的必要前提条件，而且兵营等级越高训练士兵的速度越快。10级兵营是训练【弓箭兵】的必要前提条件。","    升级【兵营】到10级",升级军营10,1
20155,保家卫国,"    兵营是城市训练士兵的基础建筑，高级的兵营不仅是高级兵种的必要前提条件，而且兵营等级越高训练士兵的速度越快。15级兵营是训练终极兵种【战车兵】的必要前提条件。","    升级【兵营】到15级",升级军营15,1
20156,保家卫国,"    兵营是城市训练士兵的基础建筑，高级的兵营不仅是高级兵种的必要前提条件，而且兵营等级越高训练士兵的速度越快。","    升级【兵营】到20级",升级军营20,1
20160,沙场点兵,"    点兵场是城池中集结军队、制订军事方针的军议所，在这里您可以查看军队情况、军事情报，制订军事战术。点兵场等级高低影响同时出战的军队数量。升级点兵场可以加快军事方针的执行效率以集结更多的部队","    升级【点兵场】到2级",升级点兵场,1
20170,建造仓库,"    仓库内可以储藏各种资源。当城池遭到抢掠时，部分资源如果事先存在仓库里可以避免被抢走。","    在【城内】空地建造【仓库】。",建造仓库1,1
20171,升级仓库,"    仓库内可以储藏各种资源。当城池遭到抢掠时，部分资源如果事先存在仓库里可以避免被抢走。升级仓库等级可以保护更多的资源。","    升级【仓库】到2级。",建造仓库2,1
20172,升级仓库,"    仓库内可以储藏各种资源。当城池遭到抢掠时，部分资源如果事先存在仓库里可以避免被抢走。升级仓库等级可以保护更多的资源。","    升级【仓库】到3级。",建造仓库3,1
20173,升级仓库,"    仓库内可以储藏各种资源。当城池遭到抢掠时，部分资源如果事先存在仓库里可以避免被抢走。升级仓库等级可以保护更多的资源。","    升级【仓库】到4级。",建造仓库4,1
20174,升级仓库,"    仓库内可以储藏各种资源。当城池遭到抢掠时，部分资源如果事先存在仓库里可以避免被抢走。升级仓库等级可以保护更多的资源。","    升级【仓库】到5级。",建造仓库5,1
20175,升级仓库,"    仓库内可以储藏各种资源。当城池遭到抢掠时，部分资源如果事先存在仓库里可以避免被抢走。升级仓库等级可以保护更多的资源。","    升级【仓库】到10级。",建造仓库10,1
20176,升级仓库,"    仓库内可以储藏各种资源。当城池遭到抢掠时，部分资源如果事先存在仓库里可以避免被抢走。升级仓库等级可以保护更多的资源。","    升级【仓库】到20级。",建造仓库20,1
20180,南来北往,"    城里的资源越来越多，建造一个贸易集市供南来北往的商人进行交易，还能与各诸侯进行资源、货物的互通。等级越高可交易的资源越多，可同时进行更多的交易。","    在【城内】空地建造【集市】。",建造集市,1
20190,诸侯会盟,"    会盟坛是邀请其他诸侯会面，商讨并订立盟约的地方。1级会盟坛可以加入联盟，2级的时候可以创建联盟。","    在【城内】空地建造【会盟坛】。",建会盟坛,1
20200,青铜作坊,"    青铜坊中的匠人专司兵器打造，随着青铜坊的等级提升，匠人们还可以打造强化神仙的装备。","    在【城内】空地建造【青铜坊】。",建青铜坊,1
20210,军械工坊,"    军械工坊是生产普通士兵所用的武器装备的必要建筑。","    在【城内】空地建造【军械工坊】。",建军械工坊,1
20220,圈养良马,"    马厩不但为您提供大量车兵必需的马匹，还是一个负责物资运输的重要场所，通过马厩您可以将城中的资源运输到其它的城池。","    在【城内】空地建造【马厩】。",新建马厩,1
20230,水马驿站,"    驿站的存在使得您的军队可以更加便捷的在城与城之间进行移动和运输。","    在【城内】空地建造【驿站】。",建造驿站,1
20240,侦骑四出,"    详细的情报是赢得战争的重要基础，侦骑营能够使您了解周边野地、敌人的情报。","    在【城内】空地建造【侦骑营】。",新建侦骑营,1
20250,烽火警讯,"    烽火台能够为您预警来犯的敌军，提前制订对敌策略，抵抗敌人的侵略。","    在【城内】空地建造【烽火台】。",建烽火台,1
20260,风驰电掣,"    升级驿站和马厩可以使军队在城池之间移动速度提高更多。马厩是驿站升级的必要前提条件，驿站的等级越高，部队在城池间移动的速度越快。","    升级【马厩】和【驿站】到2级",风驰电掣,1
30001,耕耘神术,"    修仙院里修行者们虔诚的祈祷，祈求神明的庇佑，降福于你。每升一级增加农田产量2%","    在【修仙院】里修练【耕耘术】到1级",耕耘术,1
30011,伐木神术,"    修仙院里修行者们虔诚的祈祷，祈求神明的庇佑，降福于你。每升一级增加伐木场产量2%","    在【修仙院】里修练【伐木术】到1级",伐木术,1
30021,开采神术,"    修仙院里修行者们虔诚的祈祷，祈求神明的庇佑，降福于你。每升一级增加采石场产量2%","    在【修仙院】里修练【开采术】到1级",开采术,1
30031,挖掘神术,"    修仙院里修行者们虔诚的祈祷，祈求神明的庇佑，降福于你。每升一级增加铜矿场产量2%","    在【修仙院】里修练【挖掘术】到1级",挖掘术,1
30041,点金神术,"    修仙院里修行者们虔诚的祈祷，祈求神明的庇佑，降福于你。每升一级增加税收2%","    在【修仙院】里修练【点金术】到1级",点金术,1
30051,驾驭神术,"    修仙院里修行者们虔诚的祈祷，祈求神明的庇佑，降福于你。每升一级增加运输速度2%","    在【修仙院】里修练【驾驭术】到1级",驾驭术,1
30061,筑城神术,"    修仙院里修行者们虔诚的祈祷，祈求神明的庇佑，降福于你。每升一级增加建造速度2%","    在【修仙院】里修练【筑城术】到1级",筑城术,1
30071,储藏神术,"    修仙院里修行者们虔诚的祈祷，祈求神明的庇佑，降福于你。每升一级增加仓库储藏容量4%","    在【修仙院】里修练【储藏术】到1级",储藏术,1
30081,护体神术,"    修仙院里修行者们虔诚的祈祷，祈求神明的庇佑，降福于你。每升一级增加士兵防御2%。","    在【修仙院】里修练【护体术】到1级",护体术,1
30082,练兵神术,"    修仙院里修行者们虔诚的祈祷，祈求神明的庇佑，降福于你。每升一级增加征兵速度2%。5级练兵术是训练弓箭兵的必要先决条件。","    在【修仙院】里修练【练兵术】到5级",练兵术5,1
30083,练兵神术,"    修仙院里修行者们虔诚的祈祷，祈求神明的庇佑，降福于你。每升一级增加征兵速度2%。10级练兵术是训练战车兵的必要先决条件。","    在【修仙院】里修练【练兵术】到10级",练兵术10,1
30091,强击神术,"    修仙院里修行者们虔诚的祈祷，祈求神明的庇佑，降福于你。每升一级增加部队攻击2%","    在【修仙院】里修练【强击术】到1级",强击术,1
30101,行云神术,"    修仙院里修行者们虔诚的祈祷，祈求神明的庇佑，降福于你。每升一级增加行军速度2%","    在【修仙院】里修练【行云术】到1级",行云术,1
30111,神兵秘术,"    修仙院里修行者们虔诚的祈祷，祈求神明的庇佑，降福于你。每升一级增加士兵生命上限2%","    在【修仙院】里修练【神兵术】到1级",神兵术,1
30121,仙体神术,"    修仙院里修行者们虔诚的祈祷，祈求神明的庇佑，降福于你。每升一级增加神仙自身防御2%","    在【修仙院】里修练【仙体术】到1级",仙体术,1
30131,吐纳神术,"    修仙院里修行者们虔诚的祈祷，祈求神明的庇佑，降福于你。每升一级减少神仙法术消耗的2%","    在【修仙院】里修练【吐纳术】到1级",吐纳术,1
30141,领兵神术,"    修仙院里修行者们虔诚的祈祷，祈求神明的庇佑，降福于你。每升一级增加神仙领兵上限2%","    在【修仙院】里修练【领兵术】到1级",领兵术,1
30151,试探仙法,"    修仙院里修行者们虔诚的祈祷，祈求神明的庇佑，降福于你。每升一级增加侦察仙法成功率2%","    在【修仙院】里修练【试探仙法】到1级",试探仙法,1
